job_id,title,company,description,required_skills,experience_required,min_qualification,location,salary_range
1,Machine Learning Engineer,TechCorp,Looking for a skilled Machine Learning Engineer to join our dynamic team. Excellent growth opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision",3.7,B.Tech,Hyderabad,5-16 LPA
2,Business Analyst,DataSolutions Inc,Looking for a skilled Business Analyst to join our dynamic team. Excellent growth opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication",3.0,BCA,Bangalore,4-18 LPA
3,AI Research Intern,InnovateLabs,Looking for a skilled AI Research Intern to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning",3.0,Any Graduate,Hyderabad,14-25 LPA
4,Business Analyst,DigitalDynamics,Looking for a skilled Business Analyst to join our dynamic team. Excellent growth opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication",1.1,Any Graduate,Pune,15-15 LPA
5,Backend Developer,NexGen Technologies,Looking for a skilled Backend Developer to join our dynamic team. Excellent growth opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker",2.1,MCA,Delhi,6-20 LPA
6,Machine Learning Engineer,DataSolutions Inc,Looking for a skilled Machine Learning Engineer to join our dynamic team. Excellent growth opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision",1.9,MCA,Chennai,12-19 LPA
7,Data Scientist,NexGen Technologies,Looking for a skilled Data Scientist to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow",2.3,BCA,Remote,4-23 LPA
8,Web Developer,AlphaCode,Looking for a skilled Web Developer to join our dynamic team. Excellent growth opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery",3.1,MCA,Kolkata,6-16 LPA
9,Data Scientist,ByteBuilders,Looking for a skilled Data Scientist to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow",1.1,MCA,Mumbai,6-16 LPA
10,Mobile App Developer,CloudNine Systems,Looking for a skilled Mobile App Developer to join our dynamic team. Excellent growth opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration",2.3,MCA,Delhi,8-20 LPA
11,DevOps Engineer,ByteBuilders,Looking for a skilled DevOps Engineer to join our dynamic team. Excellent growth opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform",1.3,BCA,Kolkata,13-17 LPA
12,Business Analyst,NexGen Technologies,Looking for a skilled Business Analyst to join our dynamic team. Excellent growth opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication",1.2,M.Tech,Remote,7-25 LPA
13,Business Analyst,WebWorks Ltd,Looking for a skilled Business Analyst to join our dynamic team. Excellent growth opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication",3.4,BCA,Hyderabad,3-20 LPA
14,Mobile App Developer,CloudNine Systems,Looking for a skilled Mobile App Developer to join our dynamic team. Excellent growth opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration",0.3,Any Graduate,Chennai,6-25 LPA
15,Quality Assurance Engineer,DigitalDynamics,Looking for a skilled Quality Assurance Engineer to join our dynamic team. Excellent growth opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA",4.4,M.Tech,Delhi,7-17 LPA
16,AI Research Intern,NexGen Technologies,Looking for a skilled AI Research Intern to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning",2.8,MCA,Kolkata,9-24 LPA
17,Mobile App Developer,CodeFactory,Looking for a skilled Mobile App Developer to join our dynamic team. Excellent growth opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration",1.1,B.Tech,Gurugram,10-16 LPA
18,Data Scientist,AlphaCode,Looking for a skilled Data Scientist to join our dynamic team. Excellent growth opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow",0.5,B.Tech,Remote,12-16 LPA
19,Mobile App Developer,DigitalDynamics,Looking for a skilled Mobile App Developer to join our dynamic team. Excellent growth opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration",3.0,M.Tech,Gurugram,7-23 LPA
